Items,E/D,,,
TimeFlag,201204231817,,,
CheckTFTPanelID1,E,,,
CheckTFTPanelID2,D,,,
CheckTFTPanelID3,D,,,
CheckTFTPanelID4,D,,,
CheckTFTPanelID5,D,,,
CheckTFTPanelID6,D,,,
CheckTFTPanelID7,D,,,
CheckTFTPanelID8,D,,,
CheckTFTPanelID9,D,,,
CheckTFTPanelID10,D,,,
CheckMesData,D,,,
CheckCFPanelID1,D,,,
CheckCFPanelID2,D,,,
CheckCFPanelID3,D,,,
CheckCFPanelID4,D,,,
CheckCFPanelID5,D,,,
CheckCFPanelID6,D,,,
CheckCFPanelID7,D,,,
CheckCFPanelID8,D,,,
CheckCFPanelID9,D,,,
CheckCFPanelID10,D,,,
ChangeGrade,E,,,
AssignGrade1,E,,,
AssignGrade2,E,,,
AssignGrade3,D,,, 
AssignGrade4,D,,,
AssignGrade5,D,,,
PreJudgeGradeChange1,D,,,
PreJudgeGradeChange2,D,,,
PreJudgeGradeChange3,D,,,
PostJudgeOtherRule1,D,,,
PostJudgeOtherRule2,D,,,
PostJudgeOtherRule3,D,,,
PostJudgeGradeChange1,D,,,
PostJudgeGradeChange2,D,,,
CheckPanelIDChangeGrade1,E,,,
CheckPanelIDChangeGrade2,E,,,
CheckPanelIDChangeGrade3,E,,,
CheckPanelIDChangeGrade4,E,,,
CheckPanelIDChangeGrade5,D,,,
RepairPointTimes,E,,,
FlagChangeGrade,E,,,
SKChange,D,,,
