PFCD,processNo,Destination Fab,ChangeGrade
36503,3000,,NG
TA250523CD01,,,
TA250523CD02,,,
TA250523CD03,,,
TA250523CD04,,,
TA250523CD05,,,
TA250523CD06,,,
TA250523CD07,,,
TA250523CD08,,,
TA250523CD09,,,
TA250523CD10,,,
TA250523CD11,,,
TA250523CD12,,,
TA250523CD13,,,
TA250523CD14,,,
TA250523CD15,,,
TA250523CD16,,,
TA250523CD17,,,
TA250523CD18,,,
TA250523BN01,,,
TA250523BN02,,,
TA250523BN03,,,
TA250523BN04,,,
TA250523BN05,,,
TA250523BN06,,,
TA250523BN07,,,
TA250523BN08,,,
TA250523BN09,,,
TA250523BN10,,,
TA250523BN11,,,
TA250523BN12,,,
TA250523BN13,,,
TA250523BN14,,,
TA250523BN15,,,
TA250523BN16,,,
TA250523BN17,,,
TA250523BN18,,,
