Process num,PFCD,Defect code,Rank,Count_time,Count,Alarm text
4600,31502,CPSHC,K,60,1,CPSHC 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPSHT,K,60,1,CPSHT 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPSH5,K,60,1,CPSH5 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPPTC,K,60,3,CPPTC 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPPTT,K,60,3,CPPTT 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPPT5,K,60,3,CPPT5 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPFBC,K,60,3,CPFBC 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPFBT,K,60,3,CPFBT 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPFB5,K,60,3,CPFB5 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPGCC,K,60,3,CPGCC 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPGCT,K,60,3,CPGCT 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPGC5,K,60,3,CPGC5 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPGLC,K,60,3,CPGLC 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPGLT,K,60,3,CPGLT 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPGL5,K,60,3,CPGL5 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPSCC,K,60,3,CPSCC 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPSCT,K,60,3,CPSCT 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPMSC,K,60,3,CPMSC 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPMST,K,60,3,CPMST 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPDTC,K,60,3,CPDTC 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPDTT,K,60,3,CPDTT 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPWTC,K,60,1,CPWTC 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPWTT,K,60,1,CPWTT 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPDNC,K,60,3,CPDNC 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPDNT,K,60,3,CPDNT 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPATC,K,60,3,CPATC 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPATT,K,60,3,CPATT 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPBBC,K,60,3,CPBBC 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPBBT,K,60,3,CPBBT 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPBDC,K,60,3,CPBDC 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPBDT,K,60,3,CPBDT 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPPLC,K,60,3,CPPLC 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPPLT,K,60,3,CPPLT 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPRVC,K,60,1,CPRVC 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPRVT,K,60,1,CPRVT 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPEOC,K,60,1,CPEOC 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
4600,31502,CPEOT,K,60,1,CPEOT 已经判了3pcs. 请拔打电话PY-18948718050和POL-18948718893/18948718894
