PFCD,ProcessNO,ChGrade,NoChGrade1,NoChGrade2,NoChGrade3,NoChGrade4,NoChGrade5,NoChGrade6,NoChGrade7,NoChGrade8,NoChGrade9,NoChGrade10
31502,3000,Y2,,,,,,,,,,
TA250137AV10,,,,,,,,,,,,
TA250137BF10,,,,,,,,,,,,
TA250137BG10,,,,,,,,,,,,
TA250303BX10,,,,,,,,,,,,
TA250303CB10,,,,,,,,,,,,
TA250386CD10,,,,,,,,,,,,
TA250485AL10,,,,,,,,,,,,
TA250657BG10,,,,,,,,,,,,
TA250661AU10,,,,,,,,,,,,
TA250661AZ10,,,,,,,,,,,,
TA250661BH10,,,,,,,,,,,,
TA250661BY10,,,,,,,,,,,,
TA250662CD10,,,,,,,,,,,,
TA250670AA10,,,,,,,,,,,,
TA250670AH10,,,,,,,,,,,,
TA250670AQ10,,,,,,,,,,,,
TA250670AT10,,,,,,,,,,,,
TA250670BS10,,,,,,,,,,,,
TA250670BT10,,,,,,,,,,,,
TA250670BZ10,,,,,,,,,,,,
TA250670CA10,,,,,,,,,,,,
TA250670CC10,,,,,,,,,,,,
TA250670CE10,,,,,,,,,,,,
TA250674AN10,,,,,,,,,,,,
TA250680BC10,,,,,,,,,,,,
TA250680BW10,,,,,,,,,,,,
TA250682BC10,,,,,,,,,,,,
TA250682CC10,,,,,,,,,,,,
TA250692AF10,,,,,,,,,,,,
TA250692AK10,,,,,,,,,,,,
TA250692AN10,,,,,,,,,,,,
TA250692AR10,,,,,,,,,,,,
TA250692AT10,,,,,,,,,,,,
TA250692AW10,,,,,,,,,,,,
TA250692AZ10,,,,,,,,,,,,
TA250692BC10,,,,,,,,,,,,
TA250692BD10,,,,,,,,,,,,
TA250692BP10,,,,,,,,,,,,
TA250692BX10,,,,,,,,,,,,
TA250692CH10,,,,,,,,,,,,
TA250693AC10,,,,,,,,,,,,
TA250693AS10,,,,,,,,,,,,
TA250698BX10,,,,,,,,,,,,
TA250698CF10,,,,,,,,,,,,
TA250699BG10,,,,,,,,,,,,
TA250699BP10,,,,,,,,,,,,
TA250699BS10,,,,,,,,,,,,
TA250699CH10,,,,,,,,,,,,
TA250700AU10,,,,,,,,,,,,
TA250701AG10,,,,,,,,,,,,
TA250701AM10,,,,,,,,,,,,
TA250701AQ10,,,,,,,,,,,,
TA250701BF10,,,,,,,,,,,,
TA250701BZ10,,,,,,,,,,,,
TA250701CD10,,,,,,,,,,,,
