Items,E/D,,,
CheckTFTPanelID1,E,,,
CheckTFTPanelID2,E,,,
CheckTFTPanelID3,D,,,
CheckTFTPanelID4,D,,,
CheckTFTPanelID5,E,,,
CheckTFTPanelID6,E,,,
CheckTFTPanelID7,E,,,
CheckTFTPanelID8,E,,,
CheckTFTPanelID9,E,,,
CheckTFTPanelID10,E,,,
CheckCFPanelID1,E,,,
CheckCFPanelID2,E,,,
CheckCFPanelID3,D,,,
CheckCFPanelID4,D,,,
CheckCFPanelID5,E,,,
CheckCFPanelID6,E,,,
CheckCFPanelID7,E,,,
CheckCFPanelID8,E,,,
CheckCFPanelID9,E,,,
CheckCFPanelID10,E,,,
AssignGrade1,D,,,
AssignGrade2,D,,,
AssignGrade3,D,,, 
AssignGrade4,D,,,
AssignGrade5,D,,,
PreJudgeGradeChange1,D,,,
PreJudgeGradeChange2,D,,,
PreJudgeGradeChange3,D,,,
PostJudgeOtherRule1,D,,,
PostJudgeOtherRule2,D,,,
PostJudgeOtherRule3,D,,,
PostJudgeGradeChange1,D,,,
PostJudgeGradeChange2,D,,,
CheckPanelIDChangeGrade1,D,,,
CheckPanelIDChangeGrade2,D,,,
CheckPanelIDChangeGrade3,D,,,
CheckPanelIDChangeGrade4,D,,,
CheckPanelIDChangeGrade5,D,,,
