[Main 2012-05-24 17:01:34]  JPS program start.
[Open_Session 2012-05-24 17:01:35]  FTP Port Open
[Connect_FTP_Client 2012-05-24 17:01:35]  FTP Connect Succeed
[Remote_Change_Directory 2012-05-24 17:01:35]  strPathFromRoot : \
[Get_Current_Directory 2012-05-24 17:01:35]  Current Directory : /c:/CELL
[Remote_Change_Directory 2012-05-24 17:01:35]  Directory change success. Current directory : /c:/CELL/
[Remote_Change_Directory 2012-05-24 17:01:35]  strPathFromRoot : EQ_Config\JPS\Readonly\Table\
[Get_Current_Directory 2012-05-24 17:01:35]  Current Directory : /c:/CELL
[Remote_Change_Directory 2012-05-24 17:01:35]  Directory change success. Current directory : /c:/CELL/EQ_Config/JPS/Readonly/Table/
[FTP_Get_FileList 2012-05-24 17:01:35]  Path.csv does not exist.
[Remote_Change_Directory 2012-05-24 17:01:35]  strPathFromRoot : EQ_Config\JPS\Readonly\Table\
[Get_Current_Directory 2012-05-24 17:01:35]  Current Directory : /c:/CELL
[Remote_Change_Directory 2012-05-24 17:01:35]  Directory change success. Current directory : /c:/CELL/EQ_Config/JPS/Readonly/Table/
[Get_File_From_Host 2012-05-24 17:01:35]  Path.csv download fail.
[Disconnect_FTP_Client 2012-05-24 17:01:35]  FTP Disconnect
[Open_Session 2012-05-24 17:01:35]  FTP Port Open
[Connect_FTP_Client 2012-05-24 17:01:35]  FTP Connect Succeed
[Remote_Change_Directory 2012-05-24 17:01:35]  strPathFromRoot : \
[Get_Current_Directory 2012-05-24 17:01:35]  Current Directory : /c:/CELL
[Remote_Change_Directory 2012-05-24 17:01:35]  Directory change success. Current directory : /c:/CELL/
[Remote_Change_Directory 2012-05-24 17:01:35]  strPathFromRoot : EQ_Config\JPS\Readonly\User\
[Get_Current_Directory 2012-05-24 17:01:35]  Current Directory : /c:/CELL
[Remote_Change_Directory 2012-05-24 17:01:35]  Directory change success. Current directory : /c:/CELL/EQ_Config/JPS/Readonly/User/
[Remote_Change_Directory 2012-05-24 17:01:35]  strPathFromRoot : EQ_Config\JPS\Readonly\User\
[Get_Current_Directory 2012-05-24 17:01:35]  Current Directory : /c:/CELL
[Remote_Change_Directory 2012-05-24 17:01:35]  Directory change success. Current directory : /c:/CELL/EQ_Config/JPS/Readonly/User/
[Get_File_From_Host 2012-05-24 17:01:35]  User.csv download success.
[Disconnect_FTP_Client 2012-05-24 17:01:35]  FTP Disconnect
[Open_Session 2012-05-24 17:01:35]  FTP Port Open
[Connect_FTP_Client 2012-05-24 17:01:35]  FTP Connect Succeed
[Remote_Change_Directory 2012-05-24 17:01:35]  strPathFromRoot : \
[Get_Current_Directory 2012-05-24 17:01:35]  Current Directory : /c:/CELL
[Remote_Change_Directory 2012-05-24 17:01:35]  Directory change success. Current directory : /c:/CELL/
[Remote_Change_Directory 2012-05-24 17:01:35]  strPathFromRoot : EQ_Config\JPS\Readonly\Table\
[Get_Current_Directory 2012-05-24 17:01:35]  Current Directory : /c:/CELL
[Remote_Change_Directory 2012-05-24 17:01:35]  Directory change success. Current directory : /c:/CELL/EQ_Config/JPS/Readonly/Table/
[FTP_Get_File_from_List 2012-05-24 17:01:35]  Control.csv download success.
[FTP_Get_File_from_List 2012-05-24 17:01:36]  checkTFTPanelID1.csv download success.
[FTP_Get_File_from_List 2012-05-24 17:01:36]  checkTFTPanelID2.csv download success.
[FTP_Get_File_from_List 2012-05-24 17:01:36]  checkTFTPanelID3.csv download success.
[FTP_Get_File_from_List 2012-05-24 17:01:36]  checkTFTPanelID4.csv download success.
[FTP_Get_File_from_List 2012-05-24 17:01:36]  checkTFTPanelID5.csv download success.
[FTP_Get_File_from_List 2012-05-24 17:01:36]  checkTFTPanelID6.csv download success.
[FTP_Get_File_from_List 2012-05-24 17:01:36]  checkTFTPanelID7.csv download success.
[FTP_Get_File_from_List 2012-05-24 17:01:36]  checkTFTPanelID8.csv download success.
[FTP_Get_File_from_List 2012-05-24 17:01:36]  checkTFTPanelID9.csv download success.
