PFCD,processNo,Destination Fab,ChangeGrade
31501,3000,,NG
TA230221AD18,,,
TA230221AD16,,,
TA230221AD15,,,
TA230221AD13,,,
TA230221AD12,,,
TA230221AD10,,,
TA230221AD09,,,
TA230221AD07,,,
TA230221AD06,,,
TA230221AD04,,,
TA230221AD03,,,
TA230221AD01,,,
TA230221AC18,,,
TA230221AC17,,,
TA230221AC16,,,
TA230221AC15,,,
TA230221AC14,,,
TA230221AC02,,,
TA230221AC01,,,
TA230221AB18,,,
TA230221AB17,,,
TA230221AB16,,,
TA230221AB15,,,
TA230221AB14,,,
TA230221AB13,,,
TA230221AB12,,,
TA230221AB11,,,
TA230221AB10,,,
TA230221AB09,,,
TA230221AB08,,,
TA230221AB07,,,
TA230221AB06,,,
TA230221AB05,,,
TA230221AB04,,,
TA230221AB03,,,
TA230221AB02,,,
TA230221AB01,,,
TA230221AA18,,,
TA230221AA17,,,
TA230221AA16,,,
TA230221AA15,,,
TA230221AA14,,,
TA230221AA13,,,
TA230221AA12,,,
TA230221AA11,,,
TA230221AA10,,,
TA230221AA09,,,
TA230221AA08,,,
TA230221AA07,,,
TA230221AA06,,,
TA230221AA05,,,
TA230221AA04,,,
TA230221AA03,,,
TA230221AA02,,,
TA230221AA01,,,
TA220254CE18,,,
TA220254CE17,,,
TA220254CE16,,,
TA220254CE15,,,
TA220254CE14,,,
TA220254CE13,,,
TA220254CE12,,,
TA220254CE11,,,
TA220254CE10,,,
TA220254CE09,,,
TA220254CE08,,,
TA220254CE07,,,
TA220254CE06,,,
TA220254CE05,,,
TA220254CE04,,,
TA220254CE03,,,
TA220254CE02,,,
TA220254CE01,,,
TA220254CB18,,,
TA220254CB17,,,
TA220254CB16,,,
TA220254CB15,,,
TA220254CB14,,,
TA220254CB13,,,
TA220254CB12,,,
TA220254CB11,,,
TA220254CB10,,,
TA220254BZ18,,,
TA220254BZ17,,,
TA220254BZ16,,,
TA220254BZ15,,,
TA220254BZ14,,,
TA220254BZ13,,,
TA220254BZ12,,,
TA220254BZ11,,,
TA220254BZ10,,,
TA220254BZ09,,,
TA220254BZ08,,,
TA220254BZ07,,,
TA220254BZ06,,,
TA220254BZ05,,,
TA220254BZ04,,,
TA220254BZ03,,,
TA220254BZ02,,,
TA220254BZ01,,,
TA220254BY18,,,
TA220254BY17,,,
TA220254BY16,,,
TA220254BY15,,,
TA220254BY14,,,
TA220254BY13,,,
TA220254BY12,,,
TA220254BY11,,,
TA220254BY10,,,
TA220254BY09,,,
TA220254BY08,,,
TA220254BY07,,,
TA220254BY06,,,
TA220254BY05,,,
TA220254BY04,,,
TA220254BY03,,,
TA220254BY02,,,
TA220254BY01,,,
TA220254BX18,,,
TA220254BX17,,,
TA220254BX16,,,
TA220254BX15,,,
TA220254BX14,,,
TA220254BX13,,,
TA220254BX12,,,
TA220254BX11,,,
TA220254BX10,,,
TA220254BX09,,,
TA220254BX08,,,
TA220254BX07,,,
TA220254BX06,,,
TA220254BX05,,,
TA220254BX04,,,
TA220254BX03,,,
TA220254BX02,,,
TA220254BX01,,,
TA220254BV18,,,
TA220254BV17,,,
TA220254BV16,,,
TA220254BV15,,,
TA220254BV14,,,
TA220254BV12,,,
TA220254BV11,,,
TA220254BV09,,,
TA220254BV08,,,
TA220254BV06,,,
TA220254BV05,,,
TA220254BV03,,,
TA220254BV02,,,
TA220254BT18,,,
TA220254BT15,,,
TA220254BT12,,,
TA220254BT09,,,
TA220254BT06,,,
TA220254BT03,,,
TA220254AK18,,,
TA220254AK17,,,
TA220254AK16,,,
TA220254AK15,,,
TA220254AK14,,,
TA220254AK13,,,
TA220254AK12,,,
TA220254AK11,,,
TA220254AK10,,,
TA220254AK09,,,
TA220254AK08,,,
TA220254AK07,,,
TA220254AK06,,,
TA220254AK05,,,
TA220254AK04,,,
TA220254AK03,,,
TA220254AK02,,,
TA220254AK01,,,
