Process num,PFCD,Defect code,Rank,Count_time,Count,Alarm text
4600,31502,CPSHC,K,60,1,CPSHC have judged (1) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPSHT,K,60,1,CPSHT have judged (1) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPSH5,K,60,1,CPSH5 have judged (1) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPPTC,K,60,3,CPPTC have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPPTT,K,60,3,CPPTT have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPPT5,K,60,3,CPPT5 have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPFBC,K,60,3,CPFBC have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPFBT,K,60,3,CPFBT have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPFB5,K,60,3,CPFB5 have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPGCC,K,60,3,CPGCC have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPGCT,K,60,3,CPGCT have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPGC5,K,60,3,CPGC5 have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPGLC,K,60,3,CPGLC have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPGLT,K,60,3,CPGLT have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPGL5,K,60,3,CPGL5 have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPSCC,K,60,3,CPSCC have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPSCT,K,60,3,CPSCT have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPMSC,K,60,3,CPMSC have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPMST,K,60,3,CPMST have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPDTC,K,60,3,CPDTC have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPDTT,K,60,3,CPDTT have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPWTC,K,60,1,CPWTC have judged (1) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPWTT,K,60,1,CPWTT have judged (1) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPDNC,K,60,3,CPDNC have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPDNT,K,60,3,CPDNT have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPATC,K,60,3,CPATC have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
4600,31502,CPATT,K,60,3,CPATT have judged (3) pcs. Please call PY-18948718050 and POL-18948718893/18948718894
