PFCD,ProcessNO,ChGrade,NoChGrade1,NoChGrade2,NoChGrade3,NoChGrade4,NoChGrade5,NoChGrade6,NoChGrade7,NoChGrade8,NoChGrade9,NoChGrade10
31502,3000,Y2,,,,,,,,,,
TA270335AN01,,,,,,,,,,,,
TA270386AA01,,,,,,,,,,,,
TA270335AJ01,,,,,,,,,,,,
TA270386AQ01,,,,,,,,,,,,
TA270335AP01,,,,,,,,,,,,
TA270386AB01,,,,,,,,,,,,
TA270335AK01,,,,,,,,,,,,
TA270335AG01,,,,,,,,,,,,
TA270335AF01,,,,,,,,,,,,
TA270335AB01,,,,,,,,,,,,
TA270335AM01,,,,,,,,,,,,
TA270335AC01,,,,,,,,,,,,
TA270335AR01,,,,,,,,,,,,
TA270335AW01,,,,,,,,,,,,
TA270335BA01,,,,,,,,,,,,
TA270335AS01,,,,,,,,,,,,
TA270335AZ01,,,,,,,,,,,,
TA270335AY01,,,,,,,,,,,,
TA270416BB01,,,,,,,,,,,,
TA270416AM01,,,,,,,,,,,,
TA270416AZ01,,,,,,,,,,,,
TA270416AY01,,,,,,,,,,,,
TA270416AU01,,,,,,,,,,,,
TA270416AQ01,,,,,,,,,,,,
TA270416AJ01,,,,,,,,,,,,
TA270416BF01,,,,,,,,,,,,
TA270416AE01,,,,,,,,,,,,
TA270416AL01,,,,,,,,,,,,
TA270416AF01,,,,,,,,,,,,
TA270416AD01,,,,,,,,,,,,
TA270272AQ01,,,,,,,,,,,,
TA270323CG01,,,,,,,,,,,,
TA270323BT01,,,,,,,,,,,,
TA270272AW01,,,,,,,,,,,,
TA270323BU01,,,,,,,,,,,,
TA270340BP01,,,,,,,,,,,,
TA270323CD01,,,,,,,,,,,,
TA270309AW01,,,,,,,,,,,,
TA270309BC01,,,,,,,,,,,,
TA270309BE01,,,,,,,,,,,,
TA270309AX01,,,,,,,,,,,,
TA270323CE01,,,,,,,,,,,,
TA270309BB01,,,,,,,,,,,,
TA270323BS01,,,,,,,,,,,,
TA270309BK01,,,,,,,,,,,,
TA270309BF01,,,,,,,,,,,,
TA270323BV01,,,,,,,,,,,,
TA270272AS01,,,,,,,,,,,,
TA270272AT01,,,,,,,,,,,,
TA270309BM01,,,,,,,,,,,,
TA270272AR01,,,,,,,,,,,,
TA270309BL01,,,,,,,,,,,,
TA270333AB01,,,,,,,,,,,,
TA270333AG01,,,,,,,,,,,,
TA270333AA01,,,,,,,,,,,,
TA270337AJ01,,,,,,,,,,,,
TA270333AE01,,,,,,,,,,,,
TA270333AM01,,,,,,,,,,,,
TA270333AD01,,,,,,,,,,,,
TA270333AZ01,,,,,,,,,,,,
TA270333AH01,,,,,,,,,,,,
TA270333AJ01,,,,,,,,,,,,
TA270333AC01,,,,,,,,,,,,
TA270333AK01,,,,,,,,,,,,
TA270333AV01,,,,,,,,,,,,
TA270333AN01,,,,,,,,,,,,
TA270333CH01,,,,,,,,,,,,
TA270333AX01,,,,,,,,,,,,
TA270333AS01,,,,,,,,,,,,
TA270333BC01,,,,,,,,,,,,
TA270333AF01,,,,,,,,,,,,
TA270333AU01,,,,,,,,,,,,
TA270333AW01,,,,,,,,,,,,
TA270411AP01,,,,,,,,,,,,
TA270411AA01,,,,,,,,,,,,
TA270411AE01,,,,,,,,,,,,
TA270411AS01,,,,,,,,,,,,
TA270411AU01,,,,,,,,,,,,
TA270411AG01,,,,,,,,,,,,
TA270411AH01,,,,,,,,,,,,
TA270411AT01,,,,,,,,,,,,
TA270411AY01,,,,,,,,,,,,
TA270411AM01,,,,,,,,,,,,
TA270411AN01,,,,,,,,,,,,
TA270411BC01,,,,,,,,,,,,
TA270411AV01,,,,,,,,,,,,
TA270411AW01,,,,,,,,,,,,
TA270411AK01,,,,,,,,,,,,
TA270411BR01,,,,,,,,,,,,
TA270411BA01,,,,,,,,,,,,
TA270411BK01,,,,,,,,,,,,
TA270411BN01,,,,,,,,,,,,
TA270411AQ01,,,,,,,,,,,,
TA270411BE01,,,,,,,,,,,,
TA270411BU01,,,,,,,,,,,,
TA270411AX01,,,,,,,,,,,,
TA270411BP01,,,,,,,,,,,,
TA270411BW01,,,,,,,,,,,,
TA270411AZ01,,,,,,,,,,,,
TA270411AF01,,,,,,,,,,,,
TA270411BG01,,,,,,,,,,,,
TA270411BH01,,,,,,,,,,,,
TA270411BB01,,,,,,,,,,,,
TA270411BF01,,,,,,,,,,,,
TA270411BS01,,,,,,,,,,,,
TA270411CC01,,,,,,,,,,,,
TA270411AR01,,,,,,,,,,,,
TA270411CB01,,,,,,,,,,,,
TA270411BD01,,,,,,,,,,,,
TA270411BL01,,,,,,,,,,,,
TA270411BV01,,,,,,,,,,,,
TA270411CA01,,,,,,,,,,,,
TA270411BZ01,,,,,,,,,,,,
TA270411CE01,,,,,,,,,,,,
TA270411BM01,,,,,,,,,,,,
TA270411BT01,,,,,,,,,,,,
TA270411CD01,,,,,,,,,,,,
TA270411BX01,,,,,,,,,,,,
TA270411CF01,,,,,,,,,,,,
TA270411BY01,,,,,,,,,,,,
TA270411BJ01,,,,,,,,,,,,
TA270411CG01,,,,,,,,,,,,
TA270411CH01,,,,,,,,,,,,
TA270416BU01,,,,,,,,,,,,
TA270416BK01,,,,,,,,,,,,
TA270416BG01,,,,,,,,,,,,
TA270416BJ01,,,,,,,,,,,,
TA270416BD01,,,,,,,,,,,,
TA270416BE01,,,,,,,,,,,,
TA270416AB01,,,,,,,,,,,,
TA270416AN01,,,,,,,,,,,,
TA270416AA01,,,,,,,,,,,,
TA270416AC01,,,,,,,,,,,,
TA270330AH01,,,,,,,,,,,,
TA270386CH01,,,,,,,,,,,,
TA270324AF01,,,,,,,,,,,,
TA270332AW01,,,,,,,,,,,,
TA270332AU01,,,,,,,,,,,,
TA270332AY01,,,,,,,,,,,,
TA270332BB01,,,,,,,,,,,,
TA270332AV01,,,,,,,,,,,,
TA270332AP01,,,,,,,,,,,,
TA270332BP01,,,,,,,,,,,,
TA270332BF01,,,,,,,,,,,,
TA270332BD01,,,,,,,,,,,,
TA270332BW01,,,,,,,,,,,,
TA270305AA01,,,,,,,,,,,,
TA270305CH01,,,,,,,,,,,,
TA270298AY01,,,,,,,,,,,,
TA270322CE01,,,,,,,,,,,,
TA270298AX01,,,,,,,,,,,,
TA270324AS01,,,,,,,,,,,,
TA270324AU01,,,,,,,,,,,,
TA270268BF01,,,,,,,,,,,,
TA270298AW01,,,,,,,,,,,,
TA270301CG01,,,,,,,,,,,,
TA270332AX01,,,,,,,,,,,,
TA270268BH01,,,,,,,,,,,,
TA270298AZ01,,,,,,,,,,,,
TA270301CD01,,,,,,,,,,,,
TA270298AV01,,,,,,,,,,,,
TA270301CF01,,,,,,,,,,,,
TA270301CE01,,,,,,,,,,,,
TA270268AA01,,,,,,,,,,,,
TA270268BK01,,,,,,,,,,,,
TA270265BX01,,,,,,,,,,,,
TA270268BL01,,,,,,,,,,,,
TA270265BQ01,,,,,,,,,,,,
TA270265BT01,,,,,,,,,,,,
TA270268BJ01,,,,,,,,,,,,
TA270259AQ01,,,,,,,,,,,,
TA270265BR01,,,,,,,,,,,,
