Items,E/D,,,
TimeFlag,201208011949,,,
CheckTFTPanelID1,D,,,
CheckTFTPanelID2,D,,,
CheckTFTPanelID3,E,,,
CheckTFTPanelID4,D,,,
CheckTFTPanelID5,D,,,
CheckTFTPanelID6,D,,,
CheckTFTPanelID7,D,,,
CheckTFTPanelID8,D,,,
CheckTFTPanelID9,D,,,
CheckTFTPanelID10,D,,,
CheckMesData,E,,,
CheckCFPanelID1,D,,,
CheckCFPanelID2,D,,,
CheckCFPanelID3,D,,,
CheckCFPanelID4,D,,,
CheckCFPanelID5,D,,,
CheckCFPanelID6,D,,,
CheckCFPanelID7,D,,,
CheckCFPanelID8,D,,,
CheckCFPanelID9,D,,,
CheckCFPanelID10,D,,,
ChangeGrade,E,,,
AssignGrade1,D,,,
AssignGrade2,D,,,
AssignGrade3,D,,, 
AssignGrade4,D,,,
AssignGrade5,D,,,
PreJudgeGradeChange1,D,,,
PreJudgeGradeChange2,D,,,
PreJudgeGradeChange3,D,,,
PostJudgeOtherRule1,D,,,
PostJudgeOtherRule2,D,,,
PostJudgeOtherRule3,D,,,
PostJudgeGradeChange1,D,,,
PostJudgeGradeChange2,D,,,
CheckPanelIDChangeGrade1,E,,,
CheckPanelIDChangeGrade2,E,,,
CheckPanelIDChangeGrade3,E,,,
CheckPanelIDChangeGrade4,D,,,
CheckPanelIDChangeGrade5,D,,,
RepairPointTimes,E,,,
FlagChangeGrade,E,,,
SKChange,D,,,
