[Main 2012-08-23 23:39:33]  JPS program start.
[Get_File_From_Remote 2012-08-23 23:39:35]  Path.csv download success.
[Get_File_From_Remote 2012-08-23 23:39:35]  User.csv download success.
[Get_Remote_File_From_List 2012-08-23 23:39:35]  Control.csv download success
[Get_Remote_File_From_List 2012-08-23 23:39:36]  checkTFTPanelID1.csv download success
[Get_Remote_File_From_List 2012-08-23 23:39:36]  checkTFTPanelID2.csv download success
[Get_Remote_File_From_List 2012-08-23 23:39:36]  checkTFTPanelID3.csv download success
[Get_Remote_File_From_List 2012-08-23 23:39:36]  checkTFTPanelID4.csv download success
[Get_Remote_File_From_List 2012-08-23 23:39:36]  checkTFTPanelID5.csv download success
[Get_Remote_File_From_List 2012-08-23 23:39:36]  checkTFTPanelID6.csv download success
[Get_Remote_File_From_List 2012-08-23 23:39:36]  checkTFTPanelID7.csv download success
[Get_Remote_File_From_List 2012-08-23 23:39:36]  checkTFTPanelID8.csv download success
[Get_Remote_File_From_List 2012-08-23 23:39:36]  checkTFTPanelID9.csv download success
[Get_Remote_File_From_List 2012-08-23 23:39:36]  checkTFTPanelID10.csv download success
[Get_Remote_File_From_List 2012-08-23 23:39:36]  checkCFPanelID1.csv download success
[Get_Remote_File_From_List 2012-08-23 23:39:36]  checkCFPanelID2.csv download success
[Get_Remote_File_From_List 2012-08-23 23:39:36]  checkCFPanelID3.csv download success
[Get_Remote_File_From_List 2012-08-23 23:39:36]  checkCFPanelID4.csv download success
